1um,5um,time (iso),1um arduino,arduino P1 ratio
2635,209,2015-08-18T15:31:56.861000,5579.32825317,8.99403069023
2411,183,2015-08-18T15:32:55.617000,5430.87132249,8.7537328264
2535,167,2015-08-18T15:33:54.374000,4550.17625906,7.32910754104
2604,173,2015-08-18T15:34:53.124000,4235.2346601,6.823936319
2440,147,2015-08-18T15:35:51.876000,4031.37775717,6.49903627213
2604,141,2015-08-18T15:36:50.628000,4052.86348598,6.53302826397
2172,114,2015-08-18T15:37:49.380000,2532.2189406,5.10295938183
3205,181,2015-08-18T15:38:48.132000,3291.4012283,6.31754700897
3097,148,2015-08-18T15:39:46.884000,5708.77897069,9.2
3578,157,2015-08-18T15:40:45.637000,5628.48093518,9.07224484545
3151,149,2015-08-18T15:41:44.392000,5521.28512999,8.89978625988
3169,179,2015-08-18T15:42:43.143000,5314.40241649,8.5651821841
3182,248,2015-08-18T15:43:41.897000,4805.38553458,7.74679700264
3555,290,2015-08-18T15:44:40.651000,6240.37763877,10.0589269512
3163,269,2015-08-18T15:45:39.404000,6894.11376315,11.1099781751
3151,244,2015-08-18T15:46:38.157000,4153.87694007,6.6929169354
2205,142,2015-08-18T15:47:36.913000,4296.83221741,6.91992015468
1666,126,2015-08-18T15:48:35.667000,2705.12236332,4.35913646777
1039,99,2015-08-18T15:49:34.421000,1284.66296275,3.525569775
5603,462,2015-08-18T15:50:33.177000,4888.332485,8.2648484799
6403,558,2015-08-18T15:51:31.933000,10373.3801851,16.7121995699
3245,250,2015-08-18T15:52:30.687000,6624.52490653,10.6724505423
3589,271,2015-08-18T15:53:29.441000,5784.53357854,9.3193504895
1875,186,2015-08-18T15:54:28.195000,4932.43433965,7.94782646579
2777,205,2015-08-18T15:55:26.948000,3466.08530773,5.58420728963
3031,238,2015-08-18T15:56:25.703000,3407.94770306,5.48873242331
3531,260,2015-08-18T15:57:24.456000,3352.20843771,5.40139983035
5855,513,2015-08-18T15:58:23.210000,5368.59754677,8.65167051113
9815,1051,2015-08-18T15:59:21.963000,12895.6145666,20.7777473449
4727,310,2015-08-18T16:00:20.714000,19048.0343002,30.6966206233
4690,310,2015-08-18T16:01:19.465000,7419.61833645,11.9572552892
2498,161,2015-08-18T16:02:18.216000,4995.20061445,8.05137676676
