P2 ratio,P1 ratio,0.5um,1um,time (iso)
9.44,0.90,585.98,56.05,2015-08-01T02:52:22.698000
10.78,1.79,669.05,111.34,2015-08-01T02:53:25.773000
11.19,1.29,694.17,80.02,2015-08-01T02:54:27.880000
11.58,1.62,718.90,100.82,2015-08-01T02:55:30.126000
13.01,0.95,807.44,58.70,2015-08-01T02:56:32.431000
12.74,1.58,790.80,98.13,2015-08-01T02:57:34.665000
12.01,1.01,745.30,62.45,2015-08-01T02:58:38.233000
14.20,1.01,881.55,62.80,2015-08-01T02:59:40.785000
14.02,2.22,869.86,137.64,2015-08-01T03:00:43.361000
10.06,1.52,624.38,94.25,2015-08-01T03:01:45.954000
14.86,1.61,921.97,99.80,2015-08-01T03:02:48.258000
12.58,1.38,780.76,85.54,2015-08-01T03:03:50.849000
11.74,1.28,728.61,79.65,2015-08-01T03:04:54.252000
10.11,2.33,627.60,144.78,2015-08-01T03:05:55.982000
11.59,1.16,719.12,71.78,2015-08-01T03:06:58.506000
11.66,1.13,723.37,69.91,2015-08-01T03:08:00.273000
10.95,1.36,679.34,84.30,2015-08-01T03:09:03.393000
10.24,0.96,635.40,59.65,2015-08-01T03:10:05.125000
12.56,1.66,779.80,103.31,2015-08-01T03:11:08.640000
11.70,1.77,725.94,109.62,2015-08-01T03:12:11.211000
10.12,1.32,628.00,82.20,2015-08-01T03:13:13.416000
11.51,1.29,714.16,79.97,2015-08-01T03:14:16.267000
12.97,1.38,804.80,85.87,2015-08-01T03:15:18.967000
11.77,1.64,730.58,101.68,2015-08-01T03:16:20.827000
10.84,1.42,672.66,87.99,2015-08-01T03:17:22.623000
10.58,1.33,656.31,82.41,2015-08-01T03:18:25.663000
11.29,1.95,700.86,120.87,2015-08-01T03:19:27.794000
11.70,1.57,725.97,97.66,2015-08-01T03:20:30.853000
12.93,1.22,802.20,75.92,2015-08-01T03:21:33.337000
11.39,1.25,707.00,77.61,2015-08-01T03:22:35.303000
11.85,1.23,735.19,76.29,2015-08-01T03:23:37.473000
12.04,1.95,746.93,121.15,2015-08-01T03:24:40.122000
11.87,1.42,736.77,88.07,2015-08-01T03:25:42.335000
10.93,0.99,678.62,61.54,2015-08-01T03:26:44.960000
11.02,1.45,683.91,90.22,2015-08-01T03:27:47.436000
11.71,1.28,726.44,79.42,2015-08-01T03:28:50.784000
9.93,1.76,616.30,109.35,2015-08-01T03:29:53.323000
12.19,1.24,756.83,77.16,2015-08-01T03:30:56.161000
12.53,1.09,777.42,67.42,2015-08-01T03:31:58.890000
13.67,1.41,848.17,87.62,2015-08-01T03:33:01.805000
12.56,0.96,779.45,59.28,2015-08-01T03:34:03.553000
12.02,1.46,746.00,90.77,2015-08-01T03:35:05.508000
12.56,2.54,779.71,157.49,2015-08-01T03:36:08.635000
10.67,1.77,662.05,110.15,2015-08-01T03:37:10.700000
11.14,1.49,691.24,92.41,2015-08-01T03:38:12.548000
10.57,0.93,655.76,57.95,2015-08-01T03:39:14.603000
10.81,1.35,670.61,83.93,2015-08-01T03:40:16.638000
10.73,2.03,665.75,126.25,2015-08-01T03:41:20.128000
10.91,1.34,677.02,83.34,2015-08-01T03:42:22.447000
12.06,0.72,748.65,44.92,2015-08-01T03:43:25.084000
9.89,1.72,613.52,106.46,2015-08-01T03:44:27.240000
12.10,2.12,750.64,131.86,2015-08-01T03:45:30.112000
12.89,1.90,799.72,117.78,2015-08-01T03:46:33.514000
13.05,1.15,809.63,71.55,2015-08-01T03:47:36.890000
10.75,1.83,667.16,113.69,2015-08-01T03:48:39.314000
13.58,1.11,842.87,69.04,2015-08-01T03:49:42.033000
11.16,1.28,692.87,79.24,2015-08-01T03:50:44.515000
10.76,1.64,667.69,101.55,2015-08-01T03:51:47.210000
10.31,1.43,639.98,88.54,2015-08-01T03:52:50.118000
10.66,2.10,661.31,130.50,2015-08-01T03:53:52.709000
11.40,1.64,707.73,101.99,2015-08-01T03:54:54.845000
12.54,1.30,778.05,80.79,2015-08-01T03:55:57.332000
10.72,1.39,665.13,85.99,2015-08-01T03:56:59.549000
13.07,1.62,811.30,100.55,2015-08-01T03:58:02.690000
10.97,1.21,680.78,75.07,2015-08-01T03:59:06.082000
12.80,2.00,794.63,123.91,2015-08-01T04:00:08.372000
13.89,1.52,862.27,94.43,2015-08-01T04:01:10.877000
13.60,1.19,843.96,74.05,2015-08-01T04:02:13.836000
11.44,1.15,709.73,71.13,2015-08-01T04:03:17.220000
11.22,1.94,696.30,120.36,2015-08-01T04:04:19.300000
11.32,1.91,702.71,118.40,2015-08-01T04:05:22.027000
12.66,1.53,785.88,94.75,2015-08-01T04:06:24.389000
11.85,1.76,735.28,109.25,2015-08-01T04:07:26.333000
9.98,1.64,619.12,101.48,2015-08-01T04:08:28.239000
10.76,1.48,667.94,91.60,2015-08-01T04:09:31.895000
9.88,1.58,613.13,98.25,2015-08-01T04:10:34.687000
12.35,1.33,766.49,82.29,2015-08-01T04:11:37.300000
11.52,1.65,715.15,102.14,2015-08-01T04:12:39.047000
10.67,1.39,662.40,86.49,2015-08-01T04:13:42.130000
9.98,1.46,619.56,90.62,2015-08-01T04:14:44.591000
11.79,1.45,731.68,90.12,2015-08-01T04:15:48.191000
11.33,1.30,703.07,80.98,2015-08-01T04:16:50.078000
13.31,1.16,825.86,71.79,2015-08-01T04:17:52.457000
10.03,0.68,622.62,42.32,2015-08-01T04:18:54.506000
10.91,1.85,677.08,114.70,2015-08-01T04:19:57.728000
10.99,1.64,682.23,101.50,2015-08-01T04:21:00.794000
9.50,4.15,589.50,257.51,2015-08-01T04:22:02.873000
9.57,0.11,594.16,6.68,2015-08-01T04:23:05.587000
11.84,0.15,734.92,9.19,2015-08-01T04:24:08.540000
17.89,1.14,1110.23,70.82,2015-08-01T04:25:11.586000
17.79,0.61,1104.06,37.76,2015-08-01T04:26:13.738000
15.20,1.55,943.06,96.34,2015-08-01T04:27:15.674000
14.20,1.42,881.28,88.26,2015-08-01T04:28:17.664000
15.94,1.45,989.44,90.28,2015-08-01T04:29:20.153000
15.62,1.71,969.50,106.18,2015-08-01T04:30:22.979000
12.08,2.03,749.42,126.08,2015-08-01T04:31:26.174000
