P2 ratio,P1 ratio,0.5um,1um,time (iso)
12.36,0.18,766.86,10.96,2015-08-07T02:11:20.549000
10.61,0.12,658.18,7.36,2015-08-07T02:12:22.346000
10.10,0.67,626.80,41.83,2015-08-07T02:13:25.182000
10.24,0.71,635.50,43.81,2015-08-07T02:14:27.643000
11.34,0.46,703.78,28.51,2015-08-07T02:15:29.804000
9.82,0.53,609.15,32.64,2015-08-07T02:16:32.101000
11.15,0.49,691.71,30.62,2015-08-07T02:17:35.442000
9.43,0.81,585.24,49.96,2015-08-07T02:18:38.115000
14.08,0.72,873.67,44.67,2015-08-07T02:19:41.087000
12.43,1.54,771.39,95.87,2015-08-07T02:20:43.822000
11.09,0.25,688.38,15.60,2015-08-07T02:21:46.593000
10.04,0.94,623.34,58.60,2015-08-07T02:22:48.546000
10.65,0.82,661.02,50.73,2015-08-07T02:23:51.796000
11.97,0.65,742.88,40.42,2015-08-07T02:24:55.219000
10.50,0.91,651.66,56.58,2015-08-07T02:25:57.881000
10.19,0.61,632.40,37.55,2015-08-07T02:27:00.058000
11.71,0.50,726.80,30.73,2015-08-07T02:28:02.375000
10.29,1.11,638.59,69.06,2015-08-07T02:29:05.163000
11.22,0.54,696.04,33.49,2015-08-07T02:30:07.742000
10.21,0.82,633.54,50.61,2015-08-07T02:31:11.206000
12.25,0.44,760.44,27.61,2015-08-07T02:32:14.096000
12.36,0.18,767.09,11.02,2015-08-07T02:33:16.233000
12.43,0.88,771.24,54.38,2015-08-07T02:34:18.877000
11.71,1.10,726.82,68.38,2015-08-07T02:35:21.391000
10.88,0.49,675.37,30.29,2015-08-07T02:36:23.081000
13.02,0.59,808.12,36.85,2015-08-07T02:37:25.193000
12.49,0.96,775.24,59.83,2015-08-07T02:38:27.101000
9.56,0.39,593.20,24.18,2015-08-07T02:39:29.419000
9.98,0.45,619.63,28.08,2015-08-07T02:40:33.337000
11.05,0.55,685.48,33.99,2015-08-07T02:41:35.797000
12.34,0.44,765.67,27.00,2015-08-07T02:42:38.299000
10.56,0.71,655.65,44.03,2015-08-07T02:43:40.283000
9.89,0.97,614.03,60.20,2015-08-07T02:44:43.821000
10.37,0.75,643.87,46.58,2015-08-07T02:45:45.773000
11.65,0.66,722.92,40.74,2015-08-07T02:46:47.816000
10.26,0.48,636.67,29.64,2015-08-07T02:47:51.300000
12.48,0.38,774.81,23.35,2015-08-07T02:48:54.318000
11.22,0.46,696.09,28.54,2015-08-07T02:49:57.170000
11.72,0.95,727.45,58.78,2015-08-07T02:50:58.923000
12.17,0.35,755.40,21.98,2015-08-07T02:52:02.133000
12.73,0.28,789.91,17.17,2015-08-07T02:53:05.449000
12.90,0.61,800.89,37.56,2015-08-07T02:54:07.332000
10.56,0.20,655.61,12.70,2015-08-07T02:55:09.682000
12.34,0.31,765.99,19.44,2015-08-07T02:56:13.039000
12.02,0.78,745.98,48.51,2015-08-07T02:57:16.818000
9.37,0.73,581.80,45.13,2015-08-07T02:58:19.052000
11.32,0.40,702.29,24.74,2015-08-07T02:59:22.386000
11.73,0.24,728.12,15.20,2015-08-07T03:00:25.043000
9.25,0.65,573.86,40.16,2015-08-07T03:01:27.028000
9.45,0.24,586.67,14.70,2015-08-07T03:02:29.410000
12.24,0.26,759.36,16.03,2015-08-07T03:03:31.596000
12.87,0.30,798.56,18.76,2015-08-07T03:04:34.134000
9.56,0.47,593.29,29.30,2015-08-07T03:05:36.673000
10.28,0.49,637.86,30.17,2015-08-07T03:06:39.887000
10.11,0.67,627.60,41.32,2015-08-07T03:07:42.024000
12.00,0.63,744.60,39.30,2015-08-07T03:08:44.459000
10.98,0.71,681.61,44.02,2015-08-07T03:09:47.665000
10.57,0.47,656.06,29.38,2015-08-07T03:10:49.990000
10.75,0.48,667.00,29.92,2015-08-07T03:11:53.331000
11.82,0.54,733.53,33.70,2015-08-07T03:12:56.307000
11.06,0.49,686.44,30.29,2015-08-07T03:13:58.694000
11.11,0.53,689.79,33.08,2015-08-07T03:15:01.301000
10.88,1.13,675.24,70.18,2015-08-07T03:16:04.126000
11.01,0.66,683.16,41.00,2015-08-07T03:17:06.140000
12.83,0.45,796.06,27.99,2015-08-07T03:18:07.929000
12.97,1.31,805.10,81.55,2015-08-07T03:19:10.606000
10.61,0.72,658.48,44.92,2015-08-07T03:20:13.386000
9.84,0.50,610.47,30.85,2015-08-07T03:21:16.739000
11.32,0.42,702.67,26.22,2015-08-07T03:22:19.580000
11.74,0.61,728.79,37.68,2015-08-07T03:23:21.963000
9.13,0.48,566.46,29.83,2015-08-07T03:24:24.756000
10.88,0.19,675.30,11.90,2015-08-07T03:25:26.699000
11.08,0.59,687.54,36.45,2015-08-07T03:26:28.464000
11.32,0.33,702.70,20.23,2015-08-07T03:27:31.554000
10.23,0.41,635.09,25.63,2015-08-07T03:28:34.514000
9.59,0.80,595.11,49.50,2015-08-07T03:29:36.430000
10.71,0.40,664.69,24.87,2015-08-07T03:30:39.619000
11.76,0.48,729.55,29.96,2015-08-07T03:31:42.543000
10.30,0.68,639.13,42.21,2015-08-07T03:32:45.154000
13.66,0.55,847.70,33.82,2015-08-07T03:33:47.394000
11.72,1.00,727.31,62.23,2015-08-07T03:34:50.890000
10.63,0.65,659.96,40.37,2015-08-07T03:35:53.379000
11.15,0.33,692.22,20.30,2015-08-07T03:36:56.364000
10.96,0.38,680.11,23.47,2015-08-07T03:37:58.578000
12.43,0.72,771.29,44.77,2015-08-07T03:39:02.206000
10.39,0.80,644.90,49.45,2015-08-07T03:40:05.079000
10.51,0.59,652.25,36.91,2015-08-07T03:41:07.110000
9.80,0.50,608.33,31.11,2015-08-07T03:42:09.652000
11.02,0.32,683.95,19.62,2015-08-07T03:43:11.937000
10.35,0.25,642.52,15.61,2015-08-07T03:44:13.930000
11.43,0.73,709.41,45.08,2015-08-07T03:45:17.726000
10.70,1.25,664.16,77.58,2015-08-07T03:46:20.030000
13.20,0.72,819.19,44.56,2015-08-07T03:47:22.449000
12.73,0.60,790.06,37.24,2015-08-07T03:48:25.856000
9.38,0.47,582.36,29.36,2015-08-07T03:49:27.874000
10.77,0.44,668.35,27.08,2015-08-07T03:50:31.067000
